7
1000,3
1001,5
1002,7
1003,8
1004,5
1005,11
1006,8
100
100,2
1002,2
1000,3
101,2
1004,4
1006,2
102,3
1004,4
1002,2
1000,5
103,2
1002,5
1005,4
104,2
1000,5
1004,3
105,1
1000,5
106,2
1003,3
1002,5
107,2
1001,1
1006,4
108,5
1005,1
1002,4
1003,5
1000,2
1004,3
109,6
1004,5
1000,3
1001,3
1005,3
1003,4
1002,1
110,5
1000,4
1006,5
1004,1
1001,4
1002,2
111,5
1006,1
1002,2
1000,3
1004,5
1001,2
112,5
1001,2
1004,4
1003,5
1005,5
1006,4
113,5
1001,5
1000,1
1005,1
1006,2
1002,3
114,6
1006,5
1005,5
1004,2
1000,3
1003,3
1001,5
115,3
1000,1
1005,1
1001,3
116,4
1001,4
1005,2
1002,2
1006,2
117,1
1002,2
118,6
1002,2
1006,1
1001,5
1000,4
1004,2
1003,4
119,5
1000,4
1003,3
1004,1
1001,2
1006,2
120,7
1005,4
1006,2
1001,5
1003,2
1002,4
1000,5
1004,1
121,1
1000,1
122,4
1002,4
1004,4
1006,2
1001,2
123,3
1005,4
1006,5
1003,1
124,4
1001,4
1000,5
1005,4
1004,1
125,2
1002,4
1001,5
126,4
1002,3
1001,1
1003,5
1006,4
127,1
1002,5
128,7
1002,5
1004,4
1006,2
1001,1
1005,5
1003,2
1000,1
129,3
1003,5
1001,1
1006,5
130,4
1006,5
1005,3
1001,1
1004,2
131,5
1005,2
1006,1
1000,2
1004,1
1003,5
132,3
1004,1
1000,1
1006,3
133,6
1003,2
1004,1
1005,1
1000,5
1001,5
1002,2
134,1
1005,3
135,4
1000,3
1005,2
1001,2
1006,3
136,1
1001,5
137,3
1004,3
1006,1
1003,2
138,4
1004,3
1002,1
1000,4
1005,4
139,1
1006,5
140,4
1002,5
1004,5
1005,2
1001,3
141,3
1002,3
1004,3
1003,1
142,1
1006,3
143,4
1006,4
1004,3
1005,5
1002,4
144,4
1004,5
1002,1
1000,4
1005,4
145,1
1005,5
146,5
1002,4
1004,3
1003,3
1005,4
1000,3
147,7
1003,4
1005,1
1006,5
1001,4
1004,2
1000,5
1002,5
148,2
1002,2
1003,2
149,1
1002,4
150,2
1002,4
1005,2
151,5
1006,5
1002,3
1001,4
1004,4
1000,2
152,7
1000,1
1006,3
1001,4
1003,3
1005,1
1002,1
1004,2
153,3
1004,1
1001,4
1006,5
154,3
1005,2
1006,5
1003,4
155,5
1006,3
1002,2
1004,5
1001,5
1003,5
156,3
1005,1
1001,5
1002,2
157,6
1001,4
1004,3
1002,2
1003,5
1000,1
1005,3
158,7
1004,3
1000,3
1003,3
1005,1
1002,5
1001,2
1006,1
159,5
1003,5
1004,3
1001,3
1002,1
1005,5
160,6
1000,2
1006,3
1005,2
1003,2
1001,2
1004,3
161,4
1005,5
1001,2
1006,5
1004,1
162,5
1000,2
1003,2
1002,5
1001,2
1004,5
163,1
1002,4
164,3
1003,3
1002,5
1005,4
165,2
1002,4
1004,2
166,2
1000,1
1003,2
167,2
1004,3
1000,3
168,7
1006,1
1000,5
1003,1
1002,2
1005,4
1001,3
1004,1
169,4
1001,4
1000,3
1004,1
1005,2
170,2
1001,4
1005,5
171,4
1001,1
1000,5
1005,2
1002,2
172,2
1003,3
1000,4
173,1
1006,2
174,2
1002,2
1005,5
175,5
1001,2
1004,2
1000,4
1006,3
1003,5
176,5
1001,5
1002,5
1003,1
1000,2
1004,1
177,2
1001,4
1000,3
178,7
1003,2
1006,2
1002,5
1004,3
1005,1
1001,5
1000,2
179,5
1002,4
1004,3
1001,5
1000,1
1005,3
180,1
1006,5
181,4
1004,5
1001,4
1000,3
1005,5
182,1
1003,2
183,3
1000,1
1003,2
1005,2
184,3
1005,4
1000,2
1001,3
185,6
1004,5
1006,4
1002,3
1005,1
1001,4
1000,5
186,6
1001,5
1002,5
1004,5
1005,1
1000,4
1006,1
187,7
1006,2
1005,2
1003,5
1000,2
1001,2
1002,3
1004,5
188,5
1003,5
1001,4
1000,3
1004,4
1005,4
189,6
1005,4
1004,4
1003,3
1000,1
1006,2
1001,4
190,7
1001,2
1003,3
1006,5
1004,5
1005,1
1000,1
1002,4
191,4
1002,4
1004,2
1001,4
1005,3
192,3
1004,4
1006,4
1003,3
193,7
1001,1
1003,2
1004,4
1000,4
1006,3
1002,5
1005,2
194,6
1003,5
1004,4
1005,4
1000,4
1001,3
1006,5
195,2
1002,5
1001,1
196,6
1006,5
1002,1
1003,4
1001,1
1000,5
1004,4
197,2
1006,2
1004,1
198,5
1002,5
1004,4
1006,3
1001,4
1003,4
199,2
1004,3
1006,1
